name,n_vertices,n_visibles,n_non-visibles,n_occluded,p_visibles,p_non-visibles,p_occluded
living_room4_1,40962,13760,12979,14223,33.59,31.69,34.72
living_room4_1,40962,13760,12979,14223,33.59,31.69,34.72
living_room4_1,40962,13760,12979,14223,33.59,31.69,34.72
